10200 0.25
2 9724 test348
2 3485 test349
1 
2 1373 test350
2 2384 test351
2 2080 test352
2 1309 test353
2 7048 test354
2 6329 test355
2 602 test356
2 6632 test357
2 6738 test358
2 966 test359
2 8702 test360
2 6783 test361
2 1688 test362
2 1330 test363
2 3625 test364
2 1644 test365
2 2868 test366
2 7354 test367
2 8959 test368
2 3326 test369
2 3187 test370
2 7396 test371
2 4064 test372
2 2561 test373
2 2133 test374
2 3497 test375
2 9126 test376
2 7916 test377
2 97 test378
2 6109 test379
2 9213 test380
2 8420 test381
2 2786 test382
2 832 test383
2 2047 test384
2 9150 test385
2 3826 test386
2 4124 test387
2 4699 test388
2 3330 test389
2 418 test390
2 1598 test391
2 993 test392
2 8299 test393
2 5635 test394
2 9330 test395
2 6413 test396
2 9130 test397
2 980 test398
2 6712 test399
1 
2 7406 test400
2 3547 test401
2 8920 test402
2 2259 test403
2 5106 test404
2 431 test405
2 3171 test406
2 9679 test407
2 672 test408
2 5240 test409
2 513 test410
2 7298 test411
2 4993 test412
2 2419 test413
2 7811 test414
2 4235 test415
2 7275 test416
2 5472 test417
2 135 test418
2 2311 test419
2 1900 test420
2 7709 test421
2 9202 test422
2 9811 test423
2 351 test424
2 4832 test425
2 7869 test426
2 2860 test427
2 5470 test428
2 1507 test429
2 9114 test430
2 3938 test431
2 1829 test432
2 2330 test433
2 3713 test434
2 3595 test435
2 8367 test436
2 2352 test437
2 6891 test438
2 7684 test439
2 7967 test440
2 959 test441
2 9658 test442
2 6609 test443
2 1468 test444
2 4191 test445
2 9459 test446
2 5510 test447
2 2858 test448
2 5749 test449
1 
2 7721 test450
2 4142 test451
2 4193 test452
2 2157 test453
2 9303 test454
2 9448 test455
2 9772 test456
2 1619 test457
2 7914 test458
2 8930 test459
2 1649 test460
2 6378 test461
2 953 test462
2 7662 test463
2 5960 test464
2 9007 test465
2 8098 test466
2 2593 test467
2 521 test468
2 2136 test469
2 6994 test470
2 4778 test471
2 3606 test472
2 7622 test473
2 4736 test474
2 4432 test475
2 8658 test476
2 4730 test477
2 6406 test478
2 7140 test479
2 2093 test480
2 2724 test481
2 1485 test482
2 6773 test483
2 5982 test484
2 7846 test485
2 692 test486
2 2482 test487
2 4924 test488
2 1815 test489
2 6254 test490
2 4474 test491
2 2344 test492
2 3251 test493
2 4981 test494
2 6783 test495
2 2442 test496
2 1728 test497
2 7566 test498
2 6041 test499
1 
2 8118 test500
2 4795 test501
2 2107 test502
2 1351 test503
2 7211 test504
2 3681 test505
2 1526 test506
2 6561 test507
2 5672 test508
2 3930 test509
2 1105 test510
2 3737 test511
2 6299 test512
2 1407 test513
2 5991 test514
2 2079 test515
2 6856 test516
2 9484 test517
2 6302 test518
2 2659 test519
2 3650 test520
2 2257 test521
2 4956 test522
2 8134 test523
2 5961 test524
2 802 test525
2 9971 test526
2 2121 test527
2 1664 test528
2 5694 test529
2 2571 test530
2 3367 test531
2 5449 test532
2 5149 test533
2 1818 test534
2 2319 test535
2 6048 test536
2 2035 test537
2 6194 test538
2 5353 test539
2 5329 test540
2 3953 test541
2 7095 test542
2 8361 test543
2 1702 test544
2 8586 test545
2 699 test546
2 1729 test547
2 7249 test548
2 8643 test549
1 
2 4872 test550
2 3777 test551
2 3362 test552
2 9300 test553
2 6058 test554
2 7178 test555
2 3974 test556
2 1819 test557
2 4102 test558
2 1105 test559
2 2237 test560
2 1280 test561
2 6267 test562
2 5199 test563
2 3654 test564
2 514 test565
2 1860 test566
2 5956 test567
2 7545 test568
2 4848 test569
2 4006 test570
2 6091 test571
2 7296 test572
2 7557 test573
2 6396 test574
2 7257 test575
2 8083 test576
2 538 test577
2 2093 test578
2 9279 test579
2 6383 test580
2 3967 test581
2 8455 test582
2 2768 test583
2 2050 test584
2 9957 test585
2 4250 test586
2 4188 test587
2 6069 test588
2 7650 test589
2 6019 test590
2 1658 test591
2 6838 test592
2 7607 test593
2 4659 test594
2 804 test595
2 993 test596
2 3758 test597
2 8508 test598
2 3052 test599
1 
2 3243 test600
2 6589 test601
2 8552 test602
2 2157 test603
2 619 test604
2 4120 test605
2 565 test606
2 1996 test607
2 4502 test608
2 643 test609
2 5473 test610
2 7469 test611
2 7685 test612
2 7124 test613
2 990 test614
2 6594 test615
2 2708 test616
2 2167 test617
2 9090 test618
2 2638 test619
2 985 test620
2 331 test621
2 589 test622
2 2648 test623
2 7807 test624
2 8842 test625
2 9080 test626
2 1643 test627
2 8943 test628
2 7734 test629
2 1191 test630
2 9706 test631
2 42 test632
2 6990 test633
2 8810 test634
2 8241 test635
2 5701 test636
2 5216 test637
2 8310 test638
2 1926 test639
2 7586 test640
2 5208 test641
2 5402 test642
2 3487 test643
2 951 test644
2 7527 test645
2 3169 test646
2 2077 test647
2 317 test648
2 6847 test649
1 
2 8676 test650
2 2133 test651
2 7734 test652
2 3402 test653
2 937 test654
2 7312 test655
2 9996 test656
2 3115 test657
2 4716 test658
2 5560 test659
2 9459 test660
2 1964 test661
2 2552 test662
2 9635 test663
2 7610 test664
2 3046 test665
2 4017 test666
2 2236 test667
2 6499 test668
2 9647 test669
2 8529 test670
2 3084 test671
2 3388 test672
2 142 test673
2 6766 test674
2 7544 test675
2 233 test676
2 1850 test677
2 8501 test678
2 6820 test679
2 5200 test680
2 832 test681
2 2981 test682
2 2533 test683
2 6177 test684
2 9459 test685
2 8954 test686
2 8644 test687
2 6080 test688
2 6990 test689
2 8644 test690
2 8847 test691
2 768 test692
2 1525 test693
2 8483 test694
2 7417 test695
2 5662 test696
2 7418 test697
2 6386 test698
2 8818 test699
1 
2 407 test700
2 9915 test701
2 5325 test702
2 9169 test703
2 6263 test704
2 5832 test705
2 2720 test706
2 8477 test707
2 6575 test708
2 8674 test709
2 7421 test710
2 9419 test711
2 562 test712
2 655 test713
2 5001 test714
2 6914 test715
2 668 test716
2 2618 test717
2 8436 test718
2 7770 test719
2 3712 test720
2 7032 test721
2 1332 test722
2 9075 test723
2 6220 test724
2 9125 test725
2 1965 test726
2 6530 test727
2 8347 test728
2 2221 test729
2 9727 test730
2 9942 test731
2 6599 test732
2 5319 test733
2 2203 test734
2 5465 test735
2 5912 test736
2 987 test737
2 9475 test738
2 82 test739
2 2958 test740
2 755 test741
2 8957 test742
2 6311 test743
2 8295 test744
2 5456 test745
2 4260 test746
2 591 test747
2 3069 test748
2 6084 test749
1 
2 4812 test750
2 5222 test751
2 3247 test752
2 7852 test753
2 4816 test754
2 2153 test755
2 9770 test756
2 6673 test757
2 1465 test758
2 2225 test759
2 8500 test760
2 36 test761
2 4173 test762
2 6094 test763
2 8277 test764
2 2022 test765
2 3537 test766
2 5640 test767
2 2387 test768
2 1978 test769
2 812 test770
2 5290 test771
2 4904 test772
2 7698 test773
2 5978 test774
2 7771 test775
2 3554 test776
2 9782 test777
2 6250 test778
2 865 test779
2 9767 test780
2 35 test781
2 325 test782
2 1418 test783
2 2722 test784
2 911 test785
2 9755 test786
2 9077 test787
2 7231 test788
2 3691 test789
2 4092 test790
2 6235 test791
2 8190 test792
2 6786 test793
2 9503 test794
2 5388 test795
2 2567 test796
2 7054 test797
2 8995 test798
2 7843 test799
1 
2 9131 test800
2 1274 test801
2 5775 test802
2 2843 test803
2 3299 test804
2 33 test805
2 8808 test806
2 5147 test807
2 6536 test808
2 5525 test809
2 9759 test810
2 8236 test811
2 8062 test812
2 9084 test813
2 9332 test814
2 4780 test815
2 1773 test816
2 1557 test817
2 1179 test818
2 1627 test819
2 6989 test820
2 9688 test821
2 473 test822
2 1859 test823
2 5357 test824
2 3596 test825
2 2811 test826
2 4245 test827
2 7968 test828
2 3730 test829
2 6979 test830
2 2861 test831
2 470 test832
2 6654 test833
2 2449 test834
2 4631 test835
2 4754 test836
2 1814 test837
2 9722 test838
2 2779 test839
2 2333 test840
2 4690 test841
2 1079 test842
2 3876 test843
2 86 test844
2 9235 test845
2 7292 test846
2 5391 test847
2 9027 test848
2 3297 test849
1 
2 4739 test850
2 9519 test851
2 9 test852
2 5261 test853
2 8036 test854
2 61 test855
2 6741 test856
2 5925 test857
2 180 test858
2 6044 test859
2 7557 test860
2 1958 test861
2 6456 test862
2 635 test863
2 9829 test864
2 7755 test865
2 7620 test866
2 3 test867
2 8649 test868
2 9203 test869
2 6756 test870
2 3728 test871
2 7860 test872
2 4001 test873
2 4213 test874
2 5741 test875
2 4451 test876
2 8877 test877
2 8113 test878
2 1576 test879
2 8442 test880
2 6536 test881
2 8950 test882
2 9204 test883
2 4840 test884
2 7148 test885
2 738 test886
2 3933 test887
2 7977 test888
2 7218 test889
2 9869 test890
2 9463 test891
2 1640 test892
2 2669 test893
2 7907 test894
2 5999 test895
2 1471 test896
2 1636 test897
2 6173 test898
2 9923 test899
1 
2 9965 test900
2 3933 test901
2 8394 test902
2 1261 test903
2 5922 test904
2 8453 test905
2 7023 test906
2 8234 test907
2 2602 test908
2 4812 test909
2 8712 test910
2 3097 test911
2 2755 test912
2 2781 test913
2 777 test914
2 9663 test915
2 2845 test916
2 7435 test917
2 4231 test918
2 3480 test919
2 7150 test920
2 6182 test921
2 8828 test922
2 6552 test923
2 5215 test924
2 6317 test925
2 2554 test926
2 7503 test927
2 246 test928
2 142 test929
2 4607 test930
2 9850 test931
2 5136 test932
2 4521 test933
2 5681 test934
2 4022 test935
2 5531 test936
2 7778 test937
2 9847 test938
2 9696 test939
2 1005 test940
2 1381 test941
2 7460 test942
2 6328 test943
2 6837 test944
2 8852 test945
2 1665 test946
2 2420 test947
2 6428 test948
2 4940 test949
1 
2 309 test950
2 401 test951
2 9975 test952
2 4934 test953
2 4227 test954
2 628 test955
2 8524 test956
2 6313 test957
2 2593 test958
2 8030 test959
2 1215 test960
2 4524 test961
2 8752 test962
2 6942 test963
2 2760 test964
2 1529 test965
2 9805 test966
2 7904 test967
2 4770 test968
2 9022 test969
2 7235 test970
2 6963 test971
2 2770 test972
2 29 test973
2 8906 test974
2 8745 test975
2 5442 test976
2 9139 test977
2 2320 test978
2 8679 test979
2 4089 test980
2 2517 test981
2 450 test982
2 8732 test983
2 4921 test984
2 2534 test985
2 9144 test986
2 5663 test987
2 1477 test988
2 6533 test989
2 5098 test990
2 1329 test991
2 5533 test992
2 8211 test993
2 5603 test994
2 7985 test995
2 7319 test996
2 1411 test997
2 2641 test998
2 4430 test999
1 
2 9916 test1000
2 5546 test1001
2 389 test1002
2 5991 test1003
2 4972 test1004
2 4790 test1005
2 8733 test1006
2 9982 test1007
2 5326 test1008
2 4331 test1009
2 1723 test1010
2 7036 test1011
2 4697 test1012
2 8424 test1013
2 8626 test1014
2 1022 test1015
2 3608 test1016
2 1273 test1017
2 4333 test1018
2 4540 test1019
2 2109 test1020
2 4709 test1021
2 5196 test1022
2 5754 test1023
2 661 test1024
2 5895 test1025
2 2187 test1026
2 3288 test1027
2 595 test1028
2 9930 test1029
2 5345 test1030
2 180 test1031
2 8044 test1032
2 7005 test1033
2 2722 test1034
2 2255 test1035
2 2703 test1036
2 9046 test1037
2 1473 test1038
2 5741 test1039
2 8127 test1040
2 3618 test1041
2 5702 test1042
2 7366 test1043
2 8590 test1044
2 4427 test1045
2 6856 test1046
2 1993 test1047
2 4663 test1048
2 8355 test1049
1 
2 8615 test1050
2 9761 test1051
2 3496 test1052
2 829 test1053
2 184 test1054
2 6623 test1055
2 6843 test1056
2 4411 test1057
2 2078 test1058
2 486 test1059
2 3263 test1060
2 3217 test1061
2 4497 test1062
2 3798 test1063
2 4008 test1064
2 5480 test1065
2 7886 test1066
2 5457 test1067
2 3423 test1068
2 8191 test1069
2 2795 test1070
2 8377 test1071
2 5015 test1072
2 3356 test1073
2 6085 test1074
2 5290 test1075
2 4382 test1076
2 3505 test1077
2 9912 test1078
2 4228 test1079
2 2987 test1080
2 6681 test1081
2 5354 test1082
2 2064 test1083
2 938 test1084
2 2241 test1085
2 916 test1086
2 4019 test1087
2 9794 test1088
2 4531 test1089
2 2574 test1090
2 7953 test1091
2 6880 test1092
2 4766 test1093
2 2774 test1094
2 1337 test1095
2 5489 test1096
2 9890 test1097
2 2797 test1098
2 1167 test1099
1 
2 8849 test1100
2 2759 test1101
2 8318 test1102
2 6695 test1103
2 4699 test1104
2 141 test1105
2 3068 test1106
2 5516 test1107
2 7867 test1108
2 7933 test1109
2 1127 test1110
2 9568 test1111
2 6936 test1112
2 2783 test1113
2 2138 test1114
2 4334 test1115
2 5016 test1116
2 1061 test1117
2 740 test1118
2 4619 test1119
2 2367 test1120
2 9956 test1121
2 2368 test1122
2 5291 test1123
2 7944 test1124
2 3699 test1125
2 9748 test1126
2 4464 test1127
2 3374 test1128
2 332 test1129
2 4899 test1130
2 5021 test1131
2 2679 test1132
2 4624 test1133
2 1599 test1134
2 3241 test1135
2 494 test1136
2 4823 test1137
2 47 test1138
2 4943 test1139
2 6763 test1140
2 9557 test1141
2 4520 test1142
2 5123 test1143
2 1857 test1144
2 344 test1145
2 1019 test1146
2 6942 test1147
2 325 test1148
2 1117 test1149
1 
2 9803 test1150
2 6266 test1151
2 7830 test1152
2 866 test1153
2 7049 test1154
2 857 test1155
2 5996 test1156
2 8982 test1157
2 1806 test1158
2 4431 test1159
2 1953 test1160
2 1517 test1161
2 7252 test1162
2 3041 test1163
2 6807 test1164
2 1904 test1165
2 2161 test1166
2 6341 test1167
2 6277 test1168
2 113 test1169
2 2481 test1170
2 1817 test1171
2 6610 test1172
2 6092 test1173
2 1679 test1174
2 7823 test1175
2 604 test1176
2 8040 test1177
2 192 test1178
2 8374 test1179
2 3604 test1180
2 4365 test1181
2 445 test1182
2 9268 test1183
2 7658 test1184
2 5616 test1185
2 2379 test1186
2 9887 test1187
2 9201 test1188
2 7610 test1189
2 4088 test1190
2 8907 test1191
2 4447 test1192
2 8839 test1193
2 3139 test1194
2 2477 test1195
2 3236 test1196
2 6937 test1197
2 6345 test1198
2 8687 test1199
1 
2 2324 test1200
2 8173 test1201
2 3816 test1202
2 172 test1203
2 5202 test1204
2 437 test1205
2 8609 test1206
2 9931 test1207
2 4042 test1208
2 2965 test1209
2 7183 test1210
2 120 test1211
2 9563 test1212
2 489 test1213
2 4431 test1214
2 2333 test1215
2 816 test1216
2 4163 test1217
2 1771 test1218
2 6945 test1219
2 314 test1220
2 1571 test1221
2 5062 test1222
2 8087 test1223
2 5660 test1224
2 1774 test1225
2 9574 test1226
2 5271 test1227
2 9074 test1228
2 8369 test1229
2 2793 test1230
2 4313 test1231
2 1918 test1232
2 4511 test1233
2 9078 test1234
2 2093 test1235
2 9136 test1236
2 3190 test1237
2 3682 test1238
2 4856 test1239
2 8674 test1240
2 9440 test1241
2 3339 test1242
2 8617 test1243
2 2317 test1244
2 8677 test1245
2 1268 test1246
2 8746 test1247
2 7676 test1248
2 2462 test1249
1 
2 7069 test1250
2 3570 test1251
2 2027 test1252
2 4068 test1253
2 8654 test1254
2 151 test1255
2 9947 test1256
2 5335 test1257
2 4784 test1258
2 272 test1259
2 3717 test1260
2 8203 test1261
2 9000 test1262
2 3081 test1263
2 2312 test1264
2 9164 test1265
2 1 test1266
2 7968 test1267
2 2529 test1268
2 9234 test1269
2 9204 test1270
2 6764 test1271
2 3046 test1272
2 6815 test1273
2 903 test1274
2 9565 test1275
2 8175 test1276
2 9062 test1277
2 7424 test1278
2 6366 test1279
2 5425 test1280
2 8598 test1281
2 4340 test1282
2 2951 test1283
2 3512 test1284
2 7347 test1285
2 6305 test1286
2 4111 test1287
2 3617 test1288
2 6134 test1289
2 4596 test1290
2 8895 test1291
2 8033 test1292
2 7418 test1293
2 5063 test1294
2 8002 test1295
2 2933 test1296
2 7816 test1297
2 1595 test1298
2 1976 test1299
1 
2 8664 test1300
2 7533 test1301
2 446 test1302
2 4010 test1303
2 6122 test1304
2 6422 test1305
2 1272 test1306
2 4824 test1307
2 4163 test1308
2 9854 test1309
2 8392 test1310
2 3277 test1311
2 692 test1312
2 4350 test1313
2 6630 test1314
2 5204 test1315
2 1877 test1316
2 1667 test1317
2 3765 test1318
2 244 test1319
2 3457 test1320
2 4750 test1321
2 1047 test1322
2 4935 test1323
2 4923 test1324
2 2100 test1325
2 4988 test1326
2 8312 test1327
2 1467 test1328
2 5622 test1329
2 121 test1330
2 9915 test1331
2 3944 test1332
2 2987 test1333
2 161 test1334
2 5542 test1335
2 7028 test1336
2 2104 test1337
2 3123 test1338
2 9933 test1339
2 4943 test1340
2 4146 test1341
2 1775 test1342
2 8204 test1343
2 4728 test1344
2 1323 test1345
2 2662 test1346
2 4269 test1347
2 231 test1348
2 8456 test1349
1 
2 6045 test1350
2 2377 test1351
2 3472 test1352
2 8931 test1353
2 1645 test1354
2 1595 test1355
2 933 test1356
2 9884 test1357
2 4251 test1358
2 5392 test1359
2 5420 test1360
2 5562 test1361
2 4399 test1362
2 6027 test1363
2 2887 test1364
2 7152 test1365
2 9507 test1366
2 5605 test1367
2 5798 test1368
2 3434 test1369
2 8202 test1370
2 6785 test1371
2 4773 test1372
2 8886 test1373
2 8634 test1374
2 6574 test1375
2 1219 test1376
2 8736 test1377
2 6151 test1378
2 6357 test1379
2 7953 test1380
2 5558 test1381
2 8046 test1382
2 6946 test1383
2 4914 test1384
2 2282 test1385
2 4507 test1386
2 8096 test1387
2 2901 test1388
2 566 test1389
2 6663 test1390
2 7133 test1391
2 2508 test1392
2 5849 test1393
2 7569 test1394
2 2173 test1395
2 7177 test1396
2 6432 test1397
2 936 test1398
2 9642 test1399
1 
2 6580 test1400
2 736 test1401
2 2274 test1402
2 8808 test1403
2 5035 test1404
2 7039 test1405
2 9372 test1406
2 9463 test1407
2 8407 test1408
2 9554 test1409
2 6479 test1410
2 7185 test1411
2 3926 test1412
2 6785 test1413
2 9707 test1414
2 2964 test1415
2 3578 test1416
2 4727 test1417
2 9555 test1418
2 650 test1419
2 2942 test1420
2 1622 test1421
2 4932 test1422
2 5155 test1423
2 7344 test1424
2 1863 test1425
2 9491 test1426
2 9524 test1427
2 3184 test1428
2 2654 test1429
2 306 test1430
2 6745 test1431
2 2531 test1432
2 5500 test1433
2 2911 test1434
2 9542 test1435
2 452 test1436
2 8271 test1437
2 2602 test1438
2 3723 test1439
2 9384 test1440
2 3684 test1441
2 6320 test1442
2 9942 test1443
2 5628 test1444
2 9789 test1445
2 1288 test1446
2 5922 test1447
2 2414 test1448
2 2925 test1449
1 
2 6666 test1450
2 3148 test1451
2 6580 test1452
2 5999 test1453
2 6743 test1454
2 8711 test1455
2 1532 test1456
2 9847 test1457
2 9593 test1458
2 7318 test1459
2 7074 test1460
2 9488 test1461
2 7079 test1462
2 1286 test1463
2 2471 test1464
2 7205 test1465
2 8789 test1466
2 8190 test1467
2 4516 test1468
2 9307 test1469
2 310 test1470
2 4047 test1471
2 8459 test1472
2 4923 test1473
2 3471 test1474
2 2037 test1475
2 3878 test1476
2 1886 test1477
2 8714 test1478
2 5568 test1479
2 4783 test1480
2 6113 test1481
2 2451 test1482
2 1276 test1483
2 8411 test1484
2 5767 test1485
2 8179 test1486
2 4955 test1487
2 1012 test1488
2 2430 test1489
2 9414 test1490
2 5765 test1491
2 5665 test1492
2 2873 test1493
2 5739 test1494
2 9462 test1495
2 4516 test1496
2 8221 test1497
2 424 test1498
2 9510 test1499
1 
2 5376 test1500
2 4568 test1501
2 3175 test1502
2 9862 test1503
2 6628 test1504
2 6859 test1505
2 5857 test1506
2 7061 test1507
2 6153 test1508
2 680 test1509
2 5397 test1510
2 8306 test1511
2 6820 test1512
2 1078 test1513
2 3044 test1514
2 2684 test1515
2 2664 test1516
2 1681 test1517
2 4557 test1518
2 2389 test1519
2 6811 test1520
2 3199 test1521
2 3840 test1522
2 6150 test1523
2 5827 test1524
2 7422 test1525
2 5297 test1526
2 7724 test1527
2 4301 test1528
2 3240 test1529
2 3227 test1530
2 672 test1531
2 5642 test1532
2 4584 test1533
2 543 test1534
2 1460 test1535
2 9479 test1536
2 6983 test1537
2 9912 test1538
2 2808 test1539
2 9335 test1540
2 1567 test1541
2 475 test1542
2 1709 test1543
2 4079 test1544
2 5137 test1545
2 240 test1546
2 9649 test1547
2 7645 test1548
2 7665 test1549
1 
2 4951 test1550
2 6073 test1551
2 214 test1552
2 4863 test1553
2 1082 test1554
2 5085 test1555
2 4091 test1556
2 5889 test1557
2 3549 test1558
2 5996 test1559
2 2887 test1560
2 6923 test1561
2 244 test1562
2 8817 test1563
2 9704 test1564
2 7537 test1565
2 2194 test1566
2 829 test1567
2 5959 test1568
2 5299 test1569
2 5801 test1570
2 8292 test1571
2 2662 test1572
2 7463 test1573
2 834 test1574
2 132 test1575
2 5397 test1576
2 1077 test1577
2 3514 test1578
2 6031 test1579
2 2384 test1580
2 8507 test1581
2 9544 test1582
2 5065 test1583
2 6873 test1584
2 3761 test1585
2 4055 test1586
2 3117 test1587
2 333 test1588
2 7319 test1589
2 8596 test1590
2 1147 test1591
2 3718 test1592
2 522 test1593
2 9910 test1594
2 5580 test1595
2 4141 test1596
2 9381 test1597
2 1252 test1598
2 86 test1599
1 
2 4297 test1600
2 7492 test1601
2 5879 test1602
2 7514 test1603
2 9288 test1604
2 1636 test1605
2 3998 test1606
2 5019 test1607
2 4697 test1608
2 7399 test1609
2 8104 test1610
2 3065 test1611
2 5396 test1612
2 9763 test1613
2 9714 test1614
2 7179 test1615
2 3575 test1616
2 8906 test1617
2 7804 test1618
2 3980 test1619
2 2621 test1620
2 2852 test1621
2 6874 test1622
2 524 test1623
2 3981 test1624
2 376 test1625
2 1732 test1626
2 5959 test1627
2 9421 test1628
2 874 test1629
2 6170 test1630
2 2722 test1631
2 9472 test1632
2 4350 test1633
2 4712 test1634
2 9649 test1635
2 1699 test1636
2 9242 test1637
2 7634 test1638
2 7254 test1639
2 7296 test1640
2 4042 test1641
2 6380 test1642
2 2165 test1643
2 8221 test1644
2 6285 test1645
2 1081 test1646
2 3123 test1647
2 7477 test1648
2 2781 test1649
1 
2 206 test1650
2 3596 test1651
2 2352 test1652
2 1964 test1653
2 7633 test1654
2 8579 test1655
2 7601 test1656
2 1738 test1657
2 515 test1658
2 7796 test1659
2 5388 test1660
2 2114 test1661
2 88 test1662
2 2325 test1663
2 674 test1664
2 3044 test1665
2 5855 test1666
2 2332 test1667
2 1146 test1668
2 7374 test1669
2 8994 test1670
2 9738 test1671
2 2398 test1672
